nodenumber,x-coordinate,y-coordinate,pressure,x-velocity,y-velocity
14954,3.1616450340e-01,3.7733672960e-01,3.8295795660e-02,1.1007969060e+00,-5.7066199450e+01
14955,2.2000740410e-03,3.7734763320e-01,1.7125734390e-04,1.0000087000e+00,4.8876162870e+01
14956,9.9560968150e-01,3.7734891630e-01,-2.3186296550e-03,1.0492257110e+00,3.6619390570e-02
14957,4.8573678340e-03,3.7735279670e-01,3.7487326770e-04,1.0000095000e+00,4.8871973710e+01
14958,2.9748967010e-01,3.7737954590e-01,4.8268979760e-02,1.0882080290e+00,-4.3834123870e+01
14959,1.4387944890e-02,3.7762974670e-01,1.1154906200e-03,1.0000542070e+00,4.8813828490e+01
14960,9.9384338710e-01,3.7763493750e-01,-2.3264918680e-03,1.0491796820e+00,5.2270713810e-02
14961,5.0293723430e-01,3.7766334230e-01,-2.6697751910e-02,1.0666385890e+00,-2.0433864650e+01
14962,9.0752303430e-03,3.7779000820e-01,6.9614370940e-04,1.0000193420e+00,4.8824117660e+01
14963,2.7405731060e-02,3.7785644150e-01,2.1791940230e-03,1.0001706910e+00,4.8682626200e+01
14964,3.2705157310e-03,3.7785971920e-01,2.4692925430e-04,1.0000060090e+00,4.8835739280e+01
14965,0.0000000000e+00,3.7800000000e-01,0.0000000000e+00,1.0000000000e+00,4.8832055470e+01
14966,1.0000000000e+00,3.7800000000e-01,-2.3057869140e-03,1.0491692230e+00,0.0000000000e+00
14967,9.0680385110e-04,3.7801237680e-01,8.2960780150e-05,1.0000039950e+00,4.8827087710e+01
14968,9.9176793790e-01,3.7808665310e-01,-2.3355216750e-03,1.0491127120e+00,7.0805853420e-02
14969,9.9863077190e-01,3.7816942000e-01,-2.3104802710e-03,1.0491476610e+00,1.1265012920e-02
14970,1.8591773890e-03,3.7822742250e-01,1.4563659410e-04,1.0000054970e+00,4.8809170270e+01
14971,9.9719260450e-01,3.7835824020e-01,-2.3189655310e-03,1.0491122910e+00,2.1308907380e-02
14972,3.3938858580e-02,3.7838760560e-01,2.7155683330e-03,1.0002560270e+00,4.8556120170e+01
14973,2.2898378910e-02,3.7839477180e-01,1.7930034640e-03,1.0001156760e+00,4.8686897970e+01
14974,4.1260837630e-01,3.7843194990e-01,-2.0593723930e-02,1.1007414310e+00,-5.6995469670e+01
14975,9.8954821310e-01,3.7844865060e-01,-2.3433377850e-03,1.0490552540e+00,9.0045612300e-02
14976,4.2815131520e-03,3.7847404590e-01,3.2800561900e-04,1.0000046010e+00,4.8788390980e+01
14977,9.3994949650e-01,3.7849374820e-01,-2.3796783230e-03,1.0487898670e+00,4.4479613110e-01
14978,6.6973726900e-03,3.7854677920e-01,5.1311059350e-04,1.0000090520e+00,4.8777059970e+01
14979,9.9578186390e-01,3.7860576830e-01,-2.3258093490e-03,1.0490754500e+00,3.4356482990e-02
14980,3.7295387350e-01,3.7868354980e-01,-1.1344222710e-03,1.1120198870e+00,-6.8773634400e+01
14981,9.8645605230e-01,3.7875188710e-01,-2.3515387290e-03,1.0490005140e+00,1.1595508220e-01
14982,1.1485568880e-02,3.7880155330e-01,8.7739221720e-04,1.0000337130e+00,4.8735263810e+01
14983,9.5669838370e-01,3.7882755270e-01,-2.3831107180e-03,1.0488231990e+00,3.4211741430e-01
14984,9.8327228770e-01,3.7885038870e-01,-2.3577149710e-03,1.0489703290e+00,1.4220647150e-01
14985,9.8003427160e-01,3.7886938250e-01,-2.3631461400e-03,1.0489492440e+00,1.6822265570e-01
14986,2.7228734050e-03,3.7888046970e-01,2.0794842250e-04,1.0000000220e+00,4.8759313820e+01
14987,9.6384135450e-01,3.7888327250e-01,-2.3791025440e-03,1.0488530230e+00,2.9224244880e-01
14988,1.4730055360e-03,3.7893431380e-01,1.1717569990e-04,1.0000013240e+00,4.8755585540e+01
14989,7.7609892080e-04,3.7895775900e-01,7.3149991840e-05,1.0000006400e+00,4.8754251740e+01
14990,0.0000000000e+00,3.7900000000e-01,0.0000000000e+00,1.0000000000e+00,4.8751333130e+01
14991,1.0000000000e+00,3.7900000000e-01,-2.3115352420e-03,1.0490480130e+00,0.0000000000e+00
14992,9.6931102740e-01,3.7903859820e-01,-2.3760696260e-03,1.0488686370e+00,2.5080366150e-01
14993,9.4873923730e-01,3.7905385130e-01,-2.3857134870e-03,1.0487635900e+00,3.9224490720e-01
14994,9.9435897250e-01,3.7907024820e-01,-2.3333989660e-03,1.0490094950e+00,4.6885453810e-02
14995,3.9268624510e-01,3.7915957170e-01,-1.2144868120e-02,1.1073807770e+00,-6.3788854740e+01
14996,9.9869508470e-01,3.7921971800e-01,-2.3167250330e-03,1.0490213130e+00,1.0603379760e-02
14997,9.7477516540e-01,3.7922993070e-01,-2.3720886560e-03,1.0488772660e+00,2.0847228760e-01
14998,1.8288912730e-02,3.7926672030e-01,1.4077273630e-03,1.0000734070e+00,4.8659633410e+01
14999,5.1309596620e-03,3.7944889790e-01,3.9277246030e-04,1.0000033850e+00,4.8713711110e+01
15000,9.9736241290e-01,3.7948441960e-01,-2.3253448950e-03,1.0489762910e+00,1.9538977580e-02
15001,4.3474211780e-01,3.7950351290e-01,-2.5727477200e-02,1.0921891920e+00,-4.7685794220e+01
15002,1.8552671340e-03,3.7952334190e-01,1.4528506380e-04,9.9999783780e-01,4.8711064290e+01
15003,9.1958012970e-01,3.7956569310e-01,-2.3659476750e-03,1.0485272040e+00,5.4762734730e-01
15004,9.3277898670e-03,3.7975750340e-01,7.0713272840e-04,1.0000144330e+00,4.8672880640e+01
15005,1.0037882950e-01,3.7980568530e-01,1.0818079580e-02,1.0024467130e+00,4.6203213090e+01
15006,9.9608892520e-01,3.7981317600e-01,-2.3317697290e-03,1.0489303980e+00,3.1581584950e-02
15007,9.9235035120e-01,3.7983045620e-01,-2.3441621390e-03,1.0489057490e+00,6.5086616630e-02
15008,3.5750045730e-03,3.7985626500e-01,2.7106746590e-04,9.9999827670e-01,4.8684562750e+01
15009,8.9995168920e-04,3.7991710780e-01,8.1646058770e-05,9.9999721340e-01,4.8680560260e+01
15010,0.0000000000e+00,3.8000000000e-01,0.0000000000e+00,1.0000000000e+00,4.8670768900e+01
15011,1.0000000000e+00,3.8000000000e-01,-2.3168615960e-03,1.0489262370e+00,0.0000000000e+00
15012,1.1692598880e-01,3.8014225430e-01,1.3893049980e-02,1.0036067040e+00,4.4987765280e+01
15013,4.2706138380e-02,3.8022125670e-01,3.4977558230e-03,1.0004111180e+00,4.8254519700e+01
15014,9.9878899430e-01,3.8022309870e-01,-2.3225035330e-03,1.0488981060e+00,9.7398917020e-03
15015,8.7959838010e-01,3.8022322800e-01,-2.4011711440e-03,1.0481114620e+00,8.1762783860e-01
15016,9.9475459720e-01,3.8027174000e-01,-2.3391384820e-03,1.0488654660e+00,4.3240602660e-02
15017,1.3534913930e-02,3.8034298380e-01,1.0326999930e-03,1.0000498150e+00,4.8606677830e+01
15018,2.2053301770e-03,3.8045317150e-01,1.7021024170e-04,9.9999591940e-01,4.8640284280e+01
15019,9.9027654590e-01,3.8061201950e-01,-2.3541486410e-03,1.0487980130e+00,8.2992187670e-02
15020,9.9760272500e-01,3.8061517470e-01,-2.3316981660e-03,1.0488386340e+00,1.7468146570e-02
15021,7.1504438580e-03,3.8061676650e-01,5.4181584580e-04,1.0000064690e+00,4.8618409890e+01
15022,5.2402795010e-02,3.8078999340e-01,4.4106791620e-03,1.0006246380e+00,4.7991457630e+01
15023,1.0763077740e-03,3.8083352720e-01,9.4868529600e-05,9.9999500770e-01,4.8610826690e+01
15024,5.4893442630e-03,3.8084212090e-01,4.1400412240e-04,1.0000007800e+00,4.8606438790e+01
15025,0.0000000000e+00,3.8100000000e-01,0.0000000000e+00,1.0000000000e+00,4.8593537810e+01
15026,1.0000000000e+00,3.8100000000e-01,-2.3230859080e-03,1.0488042200e+00,0.0000000000e+00
15027,9.9645915110e-01,3.8104051160e-01,-2.3383837350e-03,1.0487827580e+00,2.8529637990e-02
15028,3.8742489980e-03,3.8110948650e-01,2.9127144850e-04,9.9999878650e-01,4.8588387870e+01
15029,2.8893434360e-02,3.8112611740e-01,2.2514162800e-03,1.0002024330e+00,4.8392030940e+01
15030,9.9897070170e-01,3.8116384180e-01,-2.3278890700e-03,1.0487833740e+00,8.5226882420e-03
15031,9.9322114160e-01,3.8123346250e-01,-2.3497936770e-03,1.0487394290e+00,5.7339075350e-02
15032,8.5999317160e-02,3.8123906500e-01,8.4665982660e-03,1.0018222360e+00,4.6749688930e+01
15033,9.9527507990e-01,3.8128562210e-01,-2.3438182690e-03,1.0487449690e+00,3.8726101060e-02
15034,1.1445520920e-02,3.8130486830e-01,8.5995012820e-04,1.0000308630e+00,4.8545342150e+01
15035,9.8755063190e-01,3.8130674220e-01,-2.3642475230e-03,1.0486965350e+00,1.0600570230e-01
15036,2.4124297790e-03,3.8147842840e-01,1.8447373800e-04,9.9999679140e-01,4.8562333020e+01
15037,9.9783333720e-01,3.8155885250e-01,-2.3366537690e-03,1.0487262930e+00,1.5865134020e-02
15038,1.2038244400e-03,3.8180112780e-01,1.0507266580e-04,9.9999551890e-01,4.8538042500e+01
15039,1.3440996270e-01,3.8185822500e-01,1.7563987840e-02,1.0055328860e+00,4.2894411980e+01
15040,1.5073159450e-02,3.8196668860e-01,1.1419907480e-03,1.0000585200e+00,4.8473695430e+01
15041,0.0000000000e+00,3.8200000000e-01,0.0000000000e+00,1.0000000000e+00,4.8520203680e+01
15042,1.0000000000e+00,3.8200000000e-01,-2.3298406780e-03,1.0486838200e+00,0.0000000000e+00
15043,9.8418553270e-01,3.8204292810e-01,-2.3746539620e-03,1.0485859830e+00,1.3394949110e-01
15044,9.9906739890e-01,3.8210966520e-01,-2.3336338210e-03,1.0486701840e+00,7.9087275330e-03
15045,9.3387780120e-03,3.8215888990e-01,6.9760624500e-04,1.0000172180e+00,4.8493013420e+01
15046,9.9411452770e-01,3.8218218020e-01,-2.3523919980e-03,1.0486286300e+00,4.9746721910e-02
15047,9.9823272490e-01,3.8223323580e-01,-2.3392541250e-03,1.0486474740e+00,1.2590419760e-02
15048,9.9669428130e-01,3.8237793090e-01,-2.3451866590e-03,1.0486210040e+00,2.7010123980e-02
15049,3.7984187280e-03,3.8237862420e-01,2.8387474920e-04,1.0000016450e+00,4.8493057220e+01
15050,5.2194894350e-03,3.8242677170e-01,3.8933803760e-04,1.0000043620e+00,4.8487185520e+01
15051,7.3048035920e-03,3.8246103850e-01,5.4558837690e-04,1.0000096780e+00,4.8479259680e+01
15052,9.9535222510e-01,3.8246202040e-01,-2.3502189330e-03,1.0486013600e+00,3.8711318760e-02
15053,2.5406044600e-03,3.8256452830e-01,1.9259373790e-04,9.9999824090e-01,4.8480726230e+01
15054,9.8033148430e-01,3.8271628170e-01,-2.3843438080e-03,1.0484795800e+00,1.6483642020e-01
15055,2.3136190020e-02,3.8275055180e-01,1.7611413470e-03,1.0001338080e+00,4.8334564980e+01
15056,9.9126613540e-01,3.8277650710e-01,-2.3641013490e-03,1.0485358480e+00,7.4109435940e-02
15057,1.2620752430e-03,3.8281208000e-01,1.0970086160e-04,9.9999716440e-01,4.8463124230e+01
15058,8.4620652620e-01,3.8287162120e-01,-2.7211005960e-03,1.0474565700e+00,1.0864325940e+00
15059,9.9786023680e-01,3.8298100100e-01,-2.3447657350e-03,1.0485520690e+00,1.6511618880e-02
15060,0.0000000000e+00,3.8300000000e-01,0.0000000000e+00,1.0000000000e+00,4.8447952990e+01
15061,1.0000000000e+00,3.8300000000e-01,-2.3365035780e-03,1.0485607330e+00,0.0000000000e+00
15062,9.9896196710e-01,3.8309604530e-01,-2.3403304500e-03,1.0485467740e+00,8.6774481440e-03
15063,9.7555364650e-01,3.8334138630e-01,-2.3932420900e-03,1.0483758010e+00,2.0189541040e-01
15064,3.6211710570e-02,3.8346343130e-01,2.8349973070e-03,1.0003572450e+00,4.8079384040e+01
15065,6.9348506210e-01,3.8350378980e-01,-6.8430565380e-03,1.0484233550e+00,-4.8563943640e-01
15066,9.9333076750e-01,3.8353299500e-01,-2.3631896000e-03,1.0484540660e+00,5.6727785600e-02
15067,3.6575667140e-03,3.8358441210e-01,2.6915743020e-04,1.0000024860e+00,4.8403894870e+01
15068,9.9499355750e-01,3.8362299200e-01,-2.3587343520e-03,1.0484530590e+00,4.2315200000e-02
15069,1.9159836090e-02,3.8371026380e-01,1.4344140650e-03,1.0001014110e+00,4.8302035900e+01
15070,2.4684077040e-03,3.8371693490e-01,1.8547882440e-04,9.9999979920e-01,4.8395870590e+01
15071,9.9634856370e-01,3.8373600260e-01,-2.3548753030e-03,1.0484473730e+00,3.0358609280e-02
15072,9.8840804720e-01,3.8377244660e-01,-2.3764794650e-03,1.0483937090e+00,9.8154154180e-02
15073,4.9315518380e-03,3.8385274160e-01,3.6882744460e-04,1.0000053870e+00,4.8381439480e+01
